"id","start_date","loc","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","annualised_rental_price","contract_rental_price","rent_price_sqft_unit","rent_price_sqm_unit","unit_size","unit_size_sqm","unit_type","beds","views","maid","study","balcony","plot_size","plot_size_sqm","dev_ref","floor_level","streetname","end_date","evdnc_name","chiller_fee","furnished","utilities","no_cheques","comments","dev_name","rent_sequence"
"24772381","2026-03-11 00:00:00","Al Satwa","Jumeirah Garden City","Ilyemas Building","","","120000","120000.000000","102","1099.300000","1175","109.220000","Apartment","2","","","","Y","0","0.000000","","2","","2027-03-10 00:00:00","Rental Contracts","","","","","","Private Developer","Renewal"
"25248585","2026-03-11 00:00:00","Al Satwa","South Heights Tower","","","","92999","92999.000000","102","1099.670000","910","84.570000","Apartment","1","","","","","0","0.000000","","6","","2027-03-10 00:00:00","Rental Contracts","","","","","","","Renewal"
"25263882","2026-03-10 00:00:00","Al Satwa","Jumeirah Garden City","Ahmad Mohd Bin Shafar Building 2","","","110000","110000.000000","82","883.750000","1339","124.470000","Apartment","2","","","","Y","0","0.000000","","2","","2027-03-09 00:00:00","Rental Contracts","","","","","","","New"
"25277452","2026-03-10 00:00:00","Al Satwa","Jumeirah Garden City","Solaire 16","","","56000","56000.000000","88","952.220000","633","58.840000","Apartment","1","","","","Y","0","0.000000","","2","","2027-03-09 00:00:00","Rental Contracts","","","","","","","Renewal"
"25271069","2026-03-10 00:00:00","Al Satwa","Jumeirah Garden City","Solaire 16","","","68000","68000.000000","135","1457.040000","502","46.670000","Apartment","1","","","","Y","0","0.000000","","7","","2027-03-09 00:00:00","Rental Contracts","","","","","","","Renewal"
"25284922","2026-03-10 00:00:00","Al Satwa","","","","","70000","70000.000000","132","1416.430000","532","49.400000","Apartment","1","","","","","0","0.000000","","","","2027-03-09 00:00:00","Rental Contracts","","","","","","","New"
"25185366","2026-03-10 00:00:00","Al Satwa","Jumeirah Garden City","Alya Residence","","","80000","80000.000000","126","1356.160000","635","59.000000","Apartment","1","","","","","0","0.000000","","4","","2027-03-09 00:00:00","Rental Contracts","","","","","","","Renewal"
"25255589","2026-03-10 00:00:00","Al Satwa","Jumeirah Garden City","Jumeirah Garden Building 4","","","105000","105000.000000","83","890.890000","1268","117.860000","Apartment","2","","","","Y","0","0.000000","","3","","2027-03-09 00:00:00","Rental Contracts","","","","","","","Renewal"
"25214374","2026-03-10 00:00:00","Al Satwa","Jumeirah Garden City","Solaire 14","","","57000","57000.000000","99","1067.020000","575","53.440000","Apartment","s","","","","Y","0","0.000000","","6","","2027-03-09 00:00:00","Rental Contracts","","","","","","","Renewal"
"25275058","2026-03-10 00:00:00","Al Satwa","","","","","60000","60000.000000","115","1232.030000","524","48.700000","Apartment","1","","","","","0","0.000000","","","","2027-03-09 00:00:00","Rental Contracts","","","","","","","New"
"25287905","2026-03-10 00:00:00","Al Satwa","Al Badaa Residences","","","","127050","127050.000000","72","772.760000","1770","164.410000","Apartment","3","","","","","0","0.000000","","8","","2027-03-09 00:00:00","Rental Contracts","","","","","","","Renewal"
"25252938","2026-03-09 00:00:00","Al Satwa","Jumeirah Garden City","Al Khair","Al Khair 3 Building","","105000","105000.000000","91","976.020000","1157","107.580000","Apartment","2","","","","Y","0","0.000000","","4","","2027-03-08 00:00:00","Rental Contracts","","","","","","","Renewal"
"25293464","2026-03-08 00:00:00","Al Satwa","South Heights Tower","","","","103950","103950.000000","77","825.790000","1355","125.840000","Apartment","2","","","","","0","0.000000","","10","","2027-03-07 00:00:00","Rental Contracts","","","","","","","Renewal"
"25289664","2026-03-07 00:00:00","Al Satwa","South Heights Tower","","","","102900","102900.000000","76","817.710000","1355","125.840000","Apartment","2","","","","","0","0.000000","","9","","2027-03-06 00:00:00","Rental Contracts","","","","","","","Renewal"
"25287623","2026-03-07 00:00:00","Al Satwa","Jumeirah Garden City","Al Khair","Al Khair 3 Building","","80000","80000.000000","88","947.310000","909","84.500000","Apartment","1","","","","Y","0","0.000000","","7","","2027-03-06 00:00:00","Rental Contracts","","","","","","","Renewal"
"25254609","2026-03-07 00:00:00","Al Satwa","Jumeirah Garden City","Alya Residence","","","64000","64000.000000","115","1236.480000","557","51.760000","Apartment","s","","","","","0","0.000000","","1","","2027-03-06 00:00:00","Rental Contracts","","","","","","","Renewal"
